ds,y
2017-01-06 01:00:00,35558.145695
2017-01-06 02:00:00,38516.55629
2017-01-06 03:00:00,33303.311258333335
2017-01-08 10:00:00,39394.09545
2017-01-08 11:00:00,41501.62042
2017-01-08 12:00:00,42391.298558333336
2017-01-08 14:00:00,41954.45061
2017-01-08 15:00:00,40960.35516
2017-01-15 08:00:00,15346.835443333335
2017-01-15 09:00:00,18377.72152
2017-02-06 01:00:00,36566.88741833333
2017-02-06 02:00:00,38722.11920666666
2017-02-06 03:00:00,33193.11258166667
2017-02-06 23:00:00,42388.344371666666
2017-03-06 00:00:00,39402.384106666665
2017-03-06 01:00:00,38491.12583
2017-03-06 02:00:00,40453.509935
2017-03-06 03:00:00,34757.086091666664
2017-04-06 00:00:00,39294.30463666667
2017-04-06 01:00:00,38467.814568333335
2017-04-06 02:00:00,40029.668874999996
2017-05-06 01:00:00,37134.834435
2017-05-06 02:00:00,38643.70861
2017-05-27 02:00:00,36895.47541000001
2017-05-28 02:00:00,37925.77049166666
2017-05-29 02:00:00,37472.52459166667
2017-05-30 02:00:00,37598.426230000005
2017-05-31 02:00:00,38095.73770666667
2017-06-06 02:00:00,38641.58940333333
2017-06-13 01:00:00,39461.721855
2017-06-13 02:00:00,40659.072850000004
2017-06-14 02:00:00,39870.72847666666
2017-06-15 02:00:00,39858.013243333335
2017-06-16 01:00:00,39686.357615
2017-06-16 02:00:00,40396.291391666666
2017-06-17 01:00:00,39766.887416666665
2017-06-17 02:00:00,40595.49668833333
2017-06-18 00:00:00,40745.960263333334
2017-06-18 01:00:00,40116.55629166667
2017-06-18 02:00:00,40987.549666666666
2017-06-19 01:00:00,39919.47019666667
2017-06-19 02:00:00,40834.966885
2017-06-20 00:00:00,41292.71523166667
2017-06-20 01:00:00,40317.880795
2017-06-20 02:00:00,40945.165563333336
2017-06-20 23:00:00,45707.01986666667
2017-06-21 00:00:00,43435.23178833333
2017-06-21 01:00:00,42411.655628333334
2017-06-21 02:00:00,42860.92715333333
2017-06-21 03:00:00,36480.0
2017-06-22 00:00:00,42867.28476666667
2017-06-22 01:00:00,41508.87417166666
2017-06-22 02:00:00,41689.00662333333
2017-06-22 23:00:00,45211.12582666666
2017-06-23 00:00:00,42636.29139
2017-06-23 01:00:00,41489.80132333333
2017-06-23 02:00:00,41809.80132333333
2017-06-23 23:00:00,47050.596026666666
2017-06-24 00:00:00,44744.900663333334
2017-06-24 01:00:00,43668.34436833334
2017-06-24 02:00:00,43242.384105
2017-06-24 03:00:00,36700.39735166667
2017-06-24 23:00:00,45662.516555
2017-06-25 00:00:00,43231.78808
2017-06-25 01:00:00,41731.39073
2017-06-25 02:00:00,40665.430465000005
2017-06-25 03:00:00,35038.940395000005
2017-06-25 23:00:00,45874.43708333333
2017-06-26 00:00:00,43244.50331166667
2017-06-26 01:00:00,39896.15894166666
2017-06-26 02:00:00,36975.89404166667
2017-06-26 17:00:00,26978.543043333335
2017-06-26 18:00:00,27388.60927
2017-06-26 19:00:00,30241.05960333333
2017-06-27 18:00:00,28581.721855
2017-06-27 19:00:00,31793.377481666666
2017-07-05 18:00:00,30065.311476666666
2017-07-06 01:00:00,38221.986755
2017-07-06 02:00:00,39419.33774833334
2017-08-06 02:00:00,39188.344371666666
2017-08-11 21:00:00,35952.820511666665
2017-09-06 02:00:00,39703.311258333335
2017-10-06 00:00:00,40521.32450166667
2017-10-06 01:00:00,40010.59602833333
2017-10-06 02:00:00,40603.97351
2017-11-06 00:00:00,39362.119205
2017-11-06 01:00:00,38792.05298
2017-11-06 02:00:00,40110.198675
2017-12-06 00:00:00,38749.668875
2017-12-06 01:00:00,38243.17880666667
2017-12-06 02:00:00,39319.73509833333
2017-12-06 23:00:00,43356.82119166667
2017-12-10 18:00:00,46797.37417833333
